#Transcript_ID	GFF_annotation	HHPred_annotation
Smp_000020.1	Beta-N-acetylglucosaminidase	Protein O-GlcNAcase (E.C.3.2.1.169)
Smp_340960.1	B30.2/SPRY domain	5' polynucleotide kinase-3' phosphatase, C-terminal domain {Mouse (Mus musculus) [TaxId: 10090]}
Smp_340970.1	Cofactor of BRCA1	DNA-directed RNA polymerase subunit, DNA-directed
Smp_340980.1	HAD superfamily	Phosphoserine phosphatase {Human (Homo sapiens) [TaxId: 9606]}
Smp_340990.1	NA	NA
Smp_341010.1	Translation initiation factor 3 complex subunit L	40S ribosomal protein SA, 40S
Smp_341020.1	Tudor domain	Tudor domain-containing protein 3, TDRD3 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_341030.1	Zinc finger C2H2-type	Zinc finger protein 297b {Human (Homo sapiens) [TaxId: 9606]}
Smp_341030.2	Zinc finger C2H2-type	Transcriptional repressor CTCF {Human (Homo sapiens) [TaxId: 9606]}
Smp_341040.1	Co-chaperone Hsc20	Co-chaperone protein HscB homolog
Smp_341050.1	PFTB repeat	Protein farnesyltransferase, beta-subunit {Human (Homo sapiens) [TaxId: 9606]}
Smp_341060.1	Sugar phosphate transporter domain	Putative hexose phosphate translocator
Smp_341070.1	Programmed cell death protein 7	PDCD7 
Smp_341080.1	Ornithine decarboxylase antizyme superfamily	ODC_AZ 
Smp_341090.1	Zinc finger C2H2-type	PROTEIN-ZINC FINGER COMPLEX, BETA BETA
Smp_341090.2	Zinc finger C2H2-type	PROTEIN-ZINC FINGER COMPLEX, BETA BETA
Smp_341100.1	Sec1-like protein	Small conjugating protein ligase-like protein
Smp_341110.1	CBS domain	Osteopetrosis-associated transmembrane protein 1, H(+)/Cl(-)
Smp_341120.1	Zinc finger, RING-type	Lysine-specific demethylase 2B (E.C.1.14.11.27), S-phase
Smp_341130.1	EF-hand domain	Eps15 {Human (Homo sapiens) [TaxId: 9606]}
Smp_341140.1	NA	Afadin {Mouse (Mus musculus) [TaxId: 10090]}
Smp_341150.1	tRNAHis guanylyltransferase Thg1	Likely histidyl tRNA-specific guanylyltransferase
Smp_341160.1	Receptor L-domain	Insulin-like growth factor 1 receptor
Smp_341160.2	Receptor L-domain	Insulin-like growth factor 1 receptor
Smp_341170.1	NA	XLF 
Smp_341180.1	NA	NA
Smp_341180.2	NA	NA
Smp_341190.1	Zinc finger C2H2-type	Zinc finger protein 297b {Human (Homo sapiens) [TaxId: 9606]}
Smp_341200.1	NA	FOP_dimer 
Smp_341200.2	NA	FOP_dimer 
Smp_341210.1	NA	Putative uncharacterized protein, Zinc finger
Smp_341220.1	Sulfotransferase	Maltose-binding periplasmic protein, Heparan sulfate
Smp_341230.1	Tyrosine-specific protein phosphatase, PTPase domain	PROGRAMMED CELL DEATH 6-INTERACTING PROTEIN
Smp_341240.1	Prohibitin	membrane microdomain organization, MEMBRANE PROTEIN
Smp_341250.1	NA	Gcn1_N 
Smp_341260.1	Protein of unknown function DUF1757	DUF1757 
Smp_341270.1	NA	Protocadherin-15, LHFPL tetraspan subfamily member
Smp_341280.1	Cell cycle regulator Mat89Bb	Mat89Bb 
Smp_341290.1	Annexin superfamily	Annexin III {Human (Homo sapiens) [TaxId: 9606]}
Smp_341300.1	Metalloenzyme, LuxS/M16 peptidase-like	Cytochrome b-c1 complex subunit 1
Smp_341300.2	Metalloenzyme, LuxS/M16 peptidase-like	Cytochrome b-c1 complex subunit 1
Smp_341310.1	NA	Cry51Aa Toxin
Smp_341320.1	WD40 repeat	Platelet-activating factor acetylhydrolase IB subunit alpha {Mouse (Mus musculus) [TaxId: 10090]}
Smp_341320.2	WD40 repeat	Platelet-activating factor acetylhydrolase IB subunit alpha {Mouse (Mus musculus) [TaxId: 10090]}
Smp_341330.1	Proteasomal ubiquitin receptor Rpn13/ADRM1	Proteasomal ubiquitin receptor ADRM1
Smp_341340.1	PLAC8 motif-containing protein	PLAC8 
Smp_341350.1	Cyclic nucleotide-binding domain	Regulatory domain of Epac2, domains 1 and 3 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_341360.1	Ubiquitin-conjugating enzyme E2	Ubiquitin conjugating enzyme, UBC {Nematode (Caenorhabditis elegans), E2-21.5 kDa [TaxId: 6239]}
Smp_341370.1	Ribosomal protein 63, mitochondrial	MRP-63 
Smp_341380.1	Protein of unknown function DUF716	Transmembrane protein 45A
Smp_341390.1	NA	C1GALT1-specific chaperone 1
Smp_341400.1	Nuclear factor related to kappa-B-binding protein	Nuclear factor related to kappa-B-binding
Smp_341410.1	NA	NA
Smp_341420.1	Dual specificity phosphatase, catalytic domain	Mapk phosphatase {Human (Homo sapiens), pac-1 [TaxId: 9606]}
Smp_341430.1	NA	NA
Smp_341440.1	Major facilitator superfamily	transporter folate proton symporter, MEMBRANE
Smp_341450.1	5-formyltetrahydrofolate cyclo-ligase	5-FTHF_cyc-lig 
Smp_341460.1	Helix-loop-helix DNA-binding domain superfamily	Myc proto-oncogene protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_341470.1	PA domain	E3 ubiquitin-protein ligase RNF128 (E.C.6.3.2.-)
Smp_341490.1	NA	Hypothetical protein MTH1743 {Archaeon Methanobacterium thermoautotrophicum [TaxId: 145262]}
Smp_341500.1	P2X purinoreceptor extracellular domain superfamily	P2X purinoceptor
Smp_341510.1	Major facilitator superfamily	Glycerol-3-phosphate transporter {Escherichia coli [TaxId: 562]}
Smp_341520.1	Regulatory factor X-associated protein, RFXANK-binding domain	DNA-binding protein RFX5, Regulatory factor
Smp_341530.1	Ran binding domain	Ran-binding protein 1, Ranbp1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_341540.1	Homeobox domain	Even-skipped homeodomain {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_341550.1	Mss4	RabGEF Mss4 {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_341560.1	ATPase, BadF/BadG/BcrA/BcrD type	N-acetylglucosamine kinase, NAGK {Human (Homo sapiens) [TaxId: 9606]}
Smp_341570.1	Phagosome assembly factor 1	PHAF1 
Smp_341580.1	Inositol monophosphatase-like	Inositol monophosphatase {Human (Homo sapiens) [TaxId: 9606]}
Smp_341580.2	Inositol monophosphatase-like	Inositol monophosphatase {Human (Homo sapiens) [TaxId: 9606]}
Smp_341590.1	NA	NA
Smp_341590.2	NA	NA
Smp_341600.1	Dynein light chain, type 1/2	Dynein light chain 1 (DLC1) {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_341610.1	Ribosomal protein S12, bacterial-type	Ribosomal protein S12 {Thermus thermophilus [TaxId: 274]}
Smp_341620.1	FERM domain	FERM, RhoGEF and pleckstrin domain
Smp_341630.1	Tudor domain	piRNA ampilication, gene silencing, GENE
Smp_341640.1	FAM194, C-terminal	FAM194 
Smp_341650.1	ABC1 atypical kinase-like domain	Probable conserved ATP-binding protein ABC
Smp_341660.1	Thioredoxin domain	QSOX1 from Rattus norvegicus (E.C.1.8.3.2)
Smp_341670.1	Fork head domain	Interleukin enhancer binding factor {Human (Homo sapiens) [TaxId: 9606]}
Smp_341680.1	FMR1-interacting protein 1, conserved domain	NUFIP1 
Smp_341690.1	Sec7 domain	ARF guanine-exchange factor 2, Gea2 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_341700.1	Association with the SNF1 complex (ASC) domain	5'-AMP-activated protein kinase catalytic subunit
Smp_341710.1	NA	Catalytic domain of MutY {Escherichia coli [TaxId: 562]}
Smp_341720.1	Zinc finger, MYND-type	Zinc finger MYND domain-containing protein 2, MTG8 {Human (Homo sapiens) [TaxId: 9606]}
Smp_341730.1	Selenoprotein, Rdx-type	SelT/selW/selH selenoprotein domain
Smp_341740.1	Signal recognition particle SRP9	Signal recognition particle 9KDa protein, SRP9 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_341750.1	Glycolipid transfer protein domain	Glycolipid transfer protein, GLTP {Human (Homo sapiens) [TaxId: 9606]}
Smp_341760.1	CUB domain	Granzyme K {Human (Homo sapiens) [TaxId: 9606]}
Smp_341770.1	Innexin	Innexin 
Smp_341780.1	NA	NA
Smp_341790.1	NA	NA
Smp_341800.1	Leucine-rich repeat	von Willebrand factor binding domain of glycoprotein Ib alpha {Human (Homo sapiens) [TaxId: 9606]}
Smp_341810.1	Dynein light chain, type 1/2	Dynein light chain 1 (DLC1) {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_341820.1	NA	RNF220 
Smp_341830.1	P-loop containing nucleoside triphosphate hydrolase	Sulfotransfer_4 
Smp_341840.1	NA	NA
Smp_341850.1	NA	NA
Smp_341850.2	NA	NA
Smp_341850.3	NA	NA
Smp_341860.1	50S ribosomal protein L30e-like	Ribosome
Smp_341870.1	CS domain	PTPLA 
Smp_341880.1	Immunoglobulin subtype 2	Neural cell adhesion molecule (NCAM) {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_341890.1	Translational (tr)-type GTP-binding domain	Initiation factor IF2/eIF5b, N-terminal (G) domain {Archaeon Methanobacterium thermoautotrophicum [TaxId: 145262]}
Smp_341900.1	EF-hand domain	Sarcoplasmic calcium-binding protein {Sandworm (Nereis diversicolor) [TaxId: 126592]}
Smp_341900.2	EF-hand domain	Sarcoplasmic calcium-binding protein {Sandworm (Nereis diversicolor) [TaxId: 126592]}
Smp_341910.1	NA	Ubiquitin-binding protein p62
Smp_341920.1	Nucleotide-binding alpha-beta plait domain superfamily	PROTEIN/RNA Complex
Smp_341930.1	Headcase protein	Headcase 
Smp_341940.1	AAA  ATPase domain	KAP_NTPase 
Smp_341950.1	PAS domain	Aryl hydrocarbon receptor nuclear translocator
Smp_341960.1	Coiled-coil domain-containing protein 170-like	Myosin-7, Myosin light chain 3
Smp_341970.1	NA	Anthranilate synthase GAT subunit, TrpG {Archaeon Sulfolobus solfataricus [TaxId: 2287]}
Smp_341980.1	Mediator complex, subunit Med21	RNA polymerase II holoenzyme component SRB7 (MED21) {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_341990.1	Dpy-19/Dpy-19-like	Dpy19 
Smp_342000.1	Epithelial sodium channel	Acid-sensing ion channel 1
Smp_342010.1	Zinc finger C2H2-type	Zinc finger protein 297b {Human (Homo sapiens) [TaxId: 9606]}
Smp_342020.1	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	cGMP-specific 3',5'-cyclic phosphodiesterase pde5a1-Ibmx {Human (Homo sapiens) [TaxId: 9606]}
Smp_342030.1	Glutathione peroxidase	Glutathione peroxidase {Human (Homo sapiens) [TaxId: 9606]}
Smp_342040.1	Immunoglobulin subtype	Poliovirus receptor-related protein 3
Smp_342050.1	Amidase signature domain	Fatty-acid amide hydrolase 1 (E.C.3.5.1.99)
Smp_342060.1	Cadherin-like	Protocadherin Gamma B7, Protein Pcdhgb7
Smp_342070.1	ARID DNA-binding domain	DNA binding, PWWP, ARID, GENE
Smp_342080.1	Stonin homology	Second domain of Mu2 adaptin subunit (ap50) of ap2 adaptor {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_342080.2	Stonin homology	Second domain of Mu2 adaptin subunit (ap50) of ap2 adaptor {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_342090.1	CUB domain	Mannose-binding protein associated serine protease 2, MASP2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_342100.1	SET domain	N-lysine methyltransferase SMYD2 (E.C.2.1.1.-, 2.1.1.43)
Smp_342110.1	Small GTPase	Ras-related protein M-Ras (XRas) {Mouse (Mus musculus) [TaxId: 10090]}
Smp_342120.1	Dynein light chain, type 1/2	Dynein light chain 1 (DLC1) {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_342130.1	Bromo adjacent homology (BAH) domain	PHD finger protein At1g33420 {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_342140.1	Small GTPase	Ran {Human (Homo sapiens) [TaxId: 9606]}
Smp_342150.1	NA	NA
Smp_342160.1	Protein kinase domain	Glycogen synthase kinase-3 beta (Gsk3b) {Human (Homo sapiens) [TaxId: 9606]}
Smp_342170.1	Gamma-tubulin complex component protein	Tubulin gamma-1 chain, Gamma-tubulin complex
Smp_342180.1	XK-related protein	XKR8, basigin, scramblase, phospholipid, TRANSPORT
Smp_342190.1	Ankyrin repeat	Transient receptor potential cation channel
Smp_342200.1	NA	NA
Smp_342210.1	Zinc finger C2H2-type	Zinc finger protein 297b {Human (Homo sapiens) [TaxId: 9606]}
Smp_342230.1	NA	DUF4541 
Smp_342240.1	WD40/YVTN repeat-like-containing domain superfamily	HYPOTHETICAL PROTEIN YPL007C, YDR362CP
Smp_342240.2	WD40/YVTN repeat-like-containing domain superfamily	HYPOTHETICAL PROTEIN YPL007C, YDR362CP
Smp_342250.1	MoaB/Mog domain	FAD SYNTHETASE (E.C.2.7.7.2)
Smp_342250.2	MoaB/Mog domain	CINA
Smp_342260.1	Ubiquitin-like domain superfamily	UBD 
Smp_342260.2	Ubiquitin-like domain superfamily	UBD 
Smp_342270.1	Homeobox domain	Msx-1 homeodomain {Mouse (Mus musculus) [TaxId: 10090]}
Smp_342280.1	Ets domain	Serum response factor accessory protein 1a, SAP-1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_342290.1	P-loop containing nucleoside triphosphate hydrolase	Rab-22a {Mouse (Mus musculus) [TaxId: 10090]}
Smp_342300.1	Fork head domain	Interleukin enhancer binding factor {Human (Homo sapiens) [TaxId: 9606]}
Smp_342310.1	Two pore domain potassium channel	Potassium channel TASK2
Smp_342320.1	Cytosolic carboxypeptidase, N-terminal	FAMILY M14 UNASSIGNED PEPTIDASE
Smp_342330.1	Citrate synthase	ATP-citrate synthase (E.C.2.3.3.8)
Smp_342340.1	NA	NA
Smp_342350.1	Roadblock/LAMTOR2 domain	Meh1, Ycr075w, SLM4
Smp_342360.1	JmjC domain	Hypoxia-inducible factor HIF ihhibitor (FIH1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_342370.1	Protein kinase domain	Lymphocyte kinase (lck) {Human (Homo sapiens) [TaxId: 9606]}
Smp_342380.1	Glycosyl transferase, family 8	Xyloside xylosyltransferase 1, human factor
Smp_342390.1	NA	entity
Smp_342400.1	Aminomethyltransferase, folate-binding domain	Glycine cleavage system T protein, GcvT {Pyrococcus horikoshii [TaxId: 53953]}
Smp_342410.1	Zinc finger C2H2-type	PATZ1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_342420.1	NA	NACHT, LRR and PYD domains-containing
Smp_342430.1	NA	U2 small nuclear ribonucleoprotein A'
Smp_342440.1	NA	NA
Smp_342450.1	MORN motif	Muscle, membrane, ion channel, STRUCTURAL
Smp_342460.1	NA	NA
Smp_342470.1	Endonuclease/exonuclease/phosphatase	Actin, Deoxyribonuclease-1 (E.C.3.1.21.1), Wiskott-Aldrich syndrome
Smp_342480.1	RNA recognition motif domain	Nuclear ribonucleoprotein A1 (RNP A1, UP1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_342480.2	RNA recognition motif domain	Nuclear ribonucleoprotein A1 (RNP A1, UP1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_342490.1	Palmitoyltransferase, DHHC domain	Palmitoyltransferase (E.C.2.3.1.225)
Smp_342500.1	Pleckstrin homology domain	Myosin-I heavy chain
Smp_342510.1	WD40 repeat	OAD, axonemal, pre-paralle, MOTOR PROTEIN
Smp_342520.1	Chromosome transmission fidelity protein 8	Ctf8 
Smp_342530.1	Pyridoxal phosphate-dependent decarboxylase	DOPA decarboxylase {Pig (Sus scrofa) [TaxId: 9823]}
Smp_342540.1	Ets domain	Serum response factor accessory protein 1a, SAP-1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_342550.1	NA	NA
Smp_342560.1	Cyclin, C-terminal domain	autoinhibition phosphate-binding pocket pseudosubstrate Scc1
Smp_342570.1	Diacylglycerol kinase, accessory domain	Diacylglycerol kinase DgkB {Staphylococcus aureus [TaxId: 1280]}
Smp_342580.1	Myc-type, basic helix-loop-helix (bHLH) domain	DNA-BINDING PROTEIN INHIBITOR ID-2
Smp_342590.1	T-complex 11	Tcp11 
Smp_342600.1	NA	NA
Smp_342610.1	FCP1 homology domain	RNA polymerase II subunit A
Smp_342610.2	FCP1 homology domain	RNA polymerase II subunit A
Smp_342620.1	RNA recognition motif domain	CUG triplet repeat RNA-binding protein 1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_342620.2	RNA recognition motif domain	CUG triplet repeat RNA-binding protein 1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_342630.1	CID domain	Regulation of nuclear pre-mRNA domain-containing
Smp_342640.1	Tetratricopeptide-like helical domain superfamily	O-GlcNAc transferase p110 subunit, OGT {Human (Homo sapiens) [TaxId: 9606]}
Smp_342650.1	NA	NA
Smp_342660.1	Small GTPase	Rad {Human (Homo sapiens) [TaxId: 9606]}
Smp_342670.1	BRCT domain	Breast cancer associated protein, BRCA1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_342680.1	Sema domain	Semaphorin-4D, Plexin-B1
Smp_342690.1	3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal	3-oxo-5-alpha-steroid 4-dehydrogenase
Smp_342690.2	3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal	3-oxo-5-alpha-steroid 4-dehydrogenase
Smp_342700.1	Tetratricopeptide-like helical domain superfamily	O-GlcNAc transferase p110 subunit, OGT {Human (Homo sapiens) [TaxId: 9606]}
Smp_342710.1	Dual specificity phosphatase, catalytic domain	mRNA capping enzyme, triphosphatase domain {Mouse (Mus musculus) [TaxId: 10090]}
Smp_342720.1	Homeobox-like domain superfamily	Paired protein (prd) {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_342730.1	Domain of unknown function DUF4201	DUF4201 
Smp_342740.1	Conserved oligomeric Golgi complex subunit 1	Dor1 
Smp_342750.1	Tfc3, extended winged-helix domain	Fatty acid synthase subunit alpha
Smp_342760.1	Cupredoxin	ephrinB2 ectodomain, NMR solution structure
Smp_342770.1	NA	NA
Smp_342780.1	Fork head domain	Genesis {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_342790.1	Fork head domain	Interleukin enhancer binding factor {Human (Homo sapiens) [TaxId: 9606]}
Smp_342800.1	G protein-coupled receptor, rhodopsin-like	Platelet-activating factor receptor
Smp_342810.1	NA	V-type proton ATPase 116 kDa
Smp_342820.1	PLAT/LH2 domain	15-Lipoxygenase {Rabbit (Oryctolagus cuniculus) [TaxId: 9986]}
Smp_342830.1	Alpha-2-macroglobulin	Complement C5, Eculizumab heavy chain
Smp_342840.1	NA	ALMS_motif 
Smp_342850.1	Armadillo-like helical	Sys-1 protein, Pop-1 8-residue peptide
Smp_342860.1	Ion transport domain	Voltage-gated hydrogen channel 1
Smp_342870.1	Histidine kinase/HSP90-like ATPase superfamily	Sacsin
Smp_342880.1	Tyrosine-specific protein phosphatase, PTPase domain	Receptor-type tyrosine-protein phosphatase S (E.C.3.1.3.48)
Smp_342880.2	Tyrosine-specific protein phosphatase, PTPase domain	Receptor-type tyrosine-protein phosphatase S (E.C.3.1.3.48)
Smp_342890.1	Arrestin-like, N-terminal	Vacuolar protein sorting-associated protein 26A
Smp_342900.1	NA	Voltage-dependent L-type calcium channel subunit
Smp_342910.1	Ribosomal protein L10P	Arx1 pre-60S particle.
Smp_342910.2	Ribosomal protein L10P	Arx1 pre-60S particle.
Smp_342920.1	NA	NA
Smp_342930.1	Zinc finger, RING-type	Not-4 N-terminal RING finger domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_342940.1	Uncharacterised domain UPF0506	UPF0506 
Smp_342950.1	ARID DNA-binding domain	DNA-binding domain from the dead ringer protein {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_342960.1	EGF-type aspartate/asparagine hydroxylation site	Delta-like ligand 1
Smp_342970.1	EGF-type aspartate/asparagine hydroxylation site	BT_4661
Smp_342980.1	The Golgi pH regulator/GPCR-type G protein	ABA_GPCR 
Smp_342980.2	The Golgi pH regulator/GPCR-type G protein	ABA_GPCR 
Smp_342990.1	Dynein regulatory complex protein 1, C-terminal	Dynein regulatory complex subunit 4
Smp_342990.2	Dynein regulatory complex protein 1, C-terminal	Dynein regulatory complex subunit 4
Smp_343010.1	Kelch repeat type 1	S-phase kinase-associated protein 1, F-box/LRR-repeat
Smp_343020.1	Myc-type, basic helix-loop-helix (bHLH) domain	DNA-binding protein inhibitor ID-3
Smp_343030.1	Sterol-sensing domain	Protein dispatched
Smp_343040.1	NA	FAM184 
Smp_343050.1	Tetratricopeptide-like helical domain superfamily	60S ribosomal protein L2, mitochondrial
Smp_343060.1	Universal stress protein A family	Putative ethylene-responsive protein AT3g01520/F4P13_7 {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_343070.1	Helix-turn-helix motif	Msx-1 homeodomain {Mouse (Mus musculus) [TaxId: 10090]}
Smp_343080.1	NA	NA
Smp_343090.1	NA	R2TP, TTT, TELO2, TTI1, TTI2
Smp_343100.1	Homeobox domain	Homeotic bicoid protein {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_343110.1	Glycoside hydrolase, family 2, immunoglobulin-like beta-sandwich	BETA-MANNOSIDASE
Smp_343120.1	P-type ATPase	Plasma membrane calcium-transporting ATPase 1
Smp_343130.1	NA	Frem_N 
Smp_343140.1	Myc-type, basic helix-loop-helix (bHLH) domain	DNA-BINDING PROTEIN INHIBITOR ID-2
Smp_343150.1	Cleavage/polyadenylation specificity factor, A subunit, C-terminal	Splicing factor 3B subunit 5
Smp_343160.1	PDZ domain	Syntenin PDZ1 and PDZ2 domains
Smp_343170.1	Serine/threonine dehydratase, pyridoxal-phosphate-binding site	Hypothetical protein C320.14 (SPCC320.14, SPCC330.15c) {Fission yeast (Schizosaccharomyces pombe) [TaxId: 4896]}
Smp_343170.2	Serine/threonine dehydratase, pyridoxal-phosphate-binding site	Hypothetical protein C320.14 (SPCC320.14, SPCC330.15c) {Fission yeast (Schizosaccharomyces pombe) [TaxId: 4896]}
Smp_343180.1	Zinc finger C2H2-type	Ying-yang 1 (yy1, zinc finger domain) {Human (Homo sapiens) [TaxId: 9606]}
Smp_343190.1	Cyclin-dependent kinase 2-associated protein 1/2	Cyclin-dependent kinase 2-associated protein 2
Smp_343200.1	Pleckstrin homology domain	G-protein coupled receptor kinase 2 (beta-adrenergic receptor kinase 1) {Cow (Bos taurus) [TaxId: 9913]}
Smp_343210.1	NA	NA
Smp_343220.1	Bardet-Biedl syndrome 5 protein	Bardet-Biedl syndrome 18 protein, BBS1
Smp_343230.1	NA	NA
Smp_343240.1	NA	NA
Smp_343250.1	NA	DUF3087 
Smp_343260.1	Cysteine peptidase, cysteine active site	(Pro)cathepsin L {Human (Homo sapiens) [TaxId: 9606]}
Smp_343270.1	Armadillo	Adenomatous polyposis coli protein, Peptide
Smp_343280.1	GPCR family 3, C-terminal	Receptor, SIGNALING PROTEIN
Smp_343290.1	Domain of unknown function DUF4456	DUF4455 
Smp_343300.1	NA	integrin, cell adhesion, plasma membrane
Smp_343310.1	SH2 domain	phosphatase, Phosphatidylinositol 3, 4, 5-trisphosphate
Smp_343320.1	G-patch domain	Pre-mRNA-splicing factor 8, Pre-mRNA-splicing factor
Smp_343330.1	Glycosyl hydrolase, family 13, catalytic domain	Alpha-amylase
Smp_343340.1	Tetratricopeptide-like helical domain superfamily	TAL effector/DNA Complex
Smp_343350.1	Ubiquitin-like domain	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein, HERPUD1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_343360.1	Snake toxin-like superfamily	Ly6/PLAUR domain-containing protein 6
Smp_343370.1	Homeobox domain	Homeotic bicoid protein {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_343380.1	SH2 domain	Abl tyrosine kinase {Mouse (Mus musculus) [TaxId: 10090]}
Smp_343390.1	NA	Keratinocyte growth factor, FGF7 {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_343400.1	Epidermal growth factor receptor kinase substrate 8-like	NA
Smp_343410.1	Protein kinase domain	Serine/threonine-protein kinase Nek2 {Human (Homo sapiens) [TaxId: 9606]}
